unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.66579E+12,10/15/2022 0:00,ETH/USDT,1296.26,1300.25,1296.26,1297.6,3060.8441,3972067.697,5097
1.66571E+12,10/14/2022 0:00,ETH/USDT,1287.08,1343.12,1283.39,1296.27,669742.8093,883059208.7,788710
1.66562E+12,10/13/2022 0:00,ETH/USDT,1294.44,1301.58,1190,1287.08,945618.3163,1183462908,1135833
1.66553E+12,10/12/2022 0:00,ETH/USDT,1280.11,1306.87,1275.25,1294.44,369712.5759,478797824.5,477911
1.66545E+12,10/11/2022 0:00,ETH/USDT,1290.03,1298,1267.01,1280.11,429430.3941,550448836.8,583107
1.66536E+12,10/10/2022 0:00,ETH/USDT,1323.13,1338,1288,1290.03,393663.0114,515800751.3,587314
1.66527E+12,10/9/2022 0:00,ETH/USDT,1315.48,1329,1307.26,1323.13,186201.9185,245547831.3,328378
1.66519E+12,10/8/2022 0:00,ETH/USDT,1331.1,1337.35,1303.51,1315.48,203391.6612,269448439.3,383251
1.6651E+12,10/7/2022 0:00,ETH/USDT,1352.07,1361.75,1317.26,1331.1,491999.8776,659508723.4,679464
1.66501E+12,10/6/2022 0:00,ETH/USDT,1352.2,1383.99,1345.01,1352.06,573975.324,783638743.2,789673
1.66493E+12,10/5/2022 0:00,ETH/USDT,1361.5,1364.77,1316.29,1352.2,483508.7782,649745323.4,695638
1.66484E+12,10/4/2022 0:00,ETH/USDT,1323.1,1369.55,1318.66,1361.49,476207.6702,641511283.4,771766
1.66476E+12,10/3/2022 0:00,ETH/USDT,1276.72,1329.9,1263.04,1323.09,483775.2435,631178676.5,598748
1.66467E+12,10/2/2022 0:00,ETH/USDT,1311.79,1317.93,1270,1276.72,371740.0407,482595051.3,462476
1.66458E+12,10/1/2022 0:00,ETH/USDT,1328.71,1333.69,1302.68,1311.79,252081.9056,332930112,347396
1.6645E+12,9/30/2022 0:00,ETH/USDT,1335.69,1373.19,1313.35,1328.72,740753.611,991505362.3,926935
1.66441E+12,9/29/2022 0:00,ETH/USDT,1337.2,1352.02,1288.52,1335.7,770591.6895,1022673511,950476
1.66432E+12,9/28/2022 0:00,ETH/USDT,1328.01,1355.7,1253.2,1337.2,919314.9131,1199743172,1075441
1.66424E+12,9/27/2022 0:00,ETH/USDT,1336.17,1400,1303.75,1328.02,860584.8944,1170630641,1055212
1.66415E+12,9/26/2022 0:00,ETH/USDT,1294.62,1340.42,1277.85,1336.17,799166.4333,1048795559,934159
1.66406E+12,9/25/2022 0:00,ETH/USDT,1317.13,1337,1269.27,1294.63,515533.8409,674560079.2,640687
1.66398E+12,9/24/2022 0:00,ETH/USDT,1327.24,1349.33,1306.52,1317.13,517557.3497,687931980,616390
1.66389E+12,9/23/2022 0:00,ETH/USDT,1326.47,1360,1262.15,1327.25,974052.3644,1273403020,1233506
1.6638E+12,9/22/2022 0:00,ETH/USDT,1245.79,1350.08,1237.32,1326.46,904282.2725,1165151399,1094636
1.66372E+12,9/21/2022 0:00,ETH/USDT,1322.94,1408.9,1220,1245.78,1192266.738,1582450800,1445950
1.66363E+12,9/20/2022 0:00,ETH/USDT,1375.98,1384.78,1312.71,1322.93,658027.1465,889324871.2,981235
1.66355E+12,9/19/2022 0:00,ETH/USDT,1334.51,1393.35,1280,1375.98,974855.198,1293086591,1235360
1.66346E+12,9/18/2022 0:00,ETH/USDT,1468.82,1469.63,1325.55,1334.51,804113.468,1118416541,990605
1.66337E+12,9/17/2022 0:00,ETH/USDT,1433.9,1476.13,1409.12,1468.83,421391.3743,608805593.7,694945
1.66329E+12,9/16/2022 0:00,ETH/USDT,1472.76,1483.35,1405.52,1433.9,693597.2425,1006033555,1111984
1.6632E+12,9/15/2022 0:00,ETH/USDT,1638.4,1655.2,1458,1472.75,1335499.805,2095367507,1748683
1.66311E+12,9/14/2022 0:00,ETH/USDT,1574.4,1647.01,1552.38,1638.39,764562.5393,1222499363,1088561
1.66303E+12,9/13/2022 0:00,ETH/USDT,1716.37,1760.51,1560.54,1574.4,1134549.726,1871967440,1337439
1.66294E+12,9/12/2022 0:00,ETH/USDT,1766.12,1783,1693,1716.37,630774.6032,1093457780,979874
1.66285E+12,9/11/2022 0:00,ETH/USDT,1774.12,1789,1720.1,1766.11,409287.7263,720937621,645729
1.66277E+12,9/10/2022 0:00,ETH/USDT,1718.24,1789,1706.03,1774.12,411046.2466,713890164.2,687951
1.66268E+12,9/9/2022 0:00,ETH/USDT,1635.37,1746.13,1630.51,1718.23,837458.2126,1425281242,1066278
1.6626E+12,9/8/2022 0:00,ETH/USDT,1630,1663.56,1595.06,1635.37,645124.0085,1050551822,1015658
1.66251E+12,9/7/2022 0:00,ETH/USDT,1559.01,1657.5,1490.66,1630,850991.4243,1326011622,1132986
1.66242E+12,9/6/2022 0:00,ETH/USDT,1617.8,1687.4,1555,1559.01,1010722.858,1650513285,1294086
1.66234E+12,9/5/2022 0:00,ETH/USDT,1579.29,1631.99,1556.56,1617.8,503492.937,797702531.4,718867
1.66225E+12,9/4/2022 0:00,ETH/USDT,1557.45,1583.66,1540.66,1579.28,296591.1166,463177013.9,520856
1.66216E+12,9/3/2022 0:00,ETH/USDT,1575.35,1582.71,1534.28,1557.46,321397.2189,500057144.5,562893
1.66208E+12,9/2/2022 0:00,ETH/USDT,1586.17,1650,1546.41,1575.35,919009.6598,1471855448,1160858
1.66199E+12,9/1/2022 0:00,ETH/USDT,1554.11,1599,1512.77,1586.16,728710.482,1133222116,1195229
1.6619E+12,8/31/2022 0:00,ETH/USDT,1524.59,1619.78,1524.59,1554.1,949227.6775,1497596316,1471691
1.66182E+12,8/30/2022 0:00,ETH/USDT,1551.79,1606.13,1473.61,1524.59,1003075.017,1551625839,1292499
1.66173E+12,8/29/2022 0:00,ETH/USDT,1426.76,1559.99,1422.08,1551.8,826252.0831,1230281045,1099487
1.66164E+12,8/28/2022 0:00,ETH/USDT,1491.06,1511,1424,1426.76,544846.4486,805616000.7,756843
